object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of 180,Probability of Label 2,Object Center_0,Object Center_1,Defect Center_0,Defect Center_1,Kurtosis of Defect Area,Object Area,Variance of Defect Area,Mean Defect Displacement,Number of Defects,Convex Hull Center_0,Convex Hull Center_1,Mean Defect Area,Convex Hull Area,Convexity,Skewness of Defect Area,Variance of Intensity_0,Variance of Intensity_1,Variance of Intensity_2,Bounding Box Maximum_0,Bounding Box Maximum_1,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Skewness of Intensity_0,Skewness of Intensity_1,Skewness of Intensity_2,Size in pixels,Maximum intensity_0,Maximum intensity_1,Maximum intensity_2,Mean Intensity_0,Mean Intensity_1,Mean Intensity_2,PrincipalAxes_0,PrincipalAxes_1,PrincipalAxes_2,PrincipalAxes_3,PrincipalAxes_4,PrincipalAxes_5,PrincipalAxes_6,PrincipalAxes_7,PrincipalAxes_8,Minimum intensity_0,Minimum intensity_1,Minimum intensity_2,Covariance of Channel Intensity_0,Covariance of Channel Intensity_1,Covariance of Channel Intensity_2,Covariance of Channel Intensity_3,Covariance of Channel Intensity_4,Covariance of Channel Intensity_5,Covariance of Channel Intensity_6,Covariance of Channel Intensity_7,Covariance of Channel Intensity_8,Total Intensity_0,Total Intensity_1,Total Intensity_2,Center of the object_0,Center of the object_1,Bounding Box Minimum_0,Bounding Box Minimum_1,Kurtosis of Intensity_0,Kurtosis of Intensity_1,Kurtosis of Intensity_2,Radii of the object_0,Radii of the object_1,Variance of Intensity in neighborhood_0,Variance of Intensity in neighborhood_1,Variance of Intensity in neighborhood_2,Skewness of Intensity in neighborhood_0,Skewness of Intensity in neighborhood_1,Skewness of Intensity in neighborhood_2,Maximum intensity in neighborhood_0,Maximum intensity in neighborhood_1,Maximum intensity in neighborhood_2,Mean Intensity in neighborhood_0,Mean Intensity in neighborhood_1,Mean Intensity in neighborhood_2,Minimum intensity in neighborhood_0,Minimum intensity in neighborhood_1,Minimum intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_0,Covariance of Channel Intensity in neighborhood_1,Covariance of Channel Intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_3,Covariance of Channel Intensity in neighborhood_4,Covariance of Channel Intensity in neighborhood_5,Covariance of Channel Intensity in neighborhood_6,Covariance of Channel Intensity in neighborhood_7,Covariance of Channel Intensity in neighborhood_8,Total Intensity in neighborhood_0,Total Intensity in neighborhood_1,Total Intensity in neighborhood_2,Kurtosis of Intensity in neighborhood_0,Kurtosis of Intensity in neighborhood_1,Kurtosis of Intensity in neighborhood_2,Length of the Skeleton,Number of Branches,Diameter,Euclidean Diameter,Average Branch Length,Number of Holes,Center of the Skeleton_0,Center of the Skeleton_1
0,0,1,180,180,1.0,0.0,280.80435,91.516304,284.4691,87.31636,3.951736,184.0,9924.25,8.445782,4.0,283.0,89.0,68.75,459.0,0.40087146,1.9855032,9196456.0,1110712.6,1852471.0,297.0,98.0,0.94924265,0.31454468,0.31454468,-0.94924265,0.7301261,-0.15696919,1.0061442,184.0,31340.0,10241.0,16791.0,21035.445,7333.4673,10573.777,-0.98300165,0.112273924,-0.14526625,0.13241114,-0.11455816,-0.98455256,0.12718101,0.98705167,-0.09774454,15748.0,4849.0,7381.0,9196456.0,-1119420.1,-978662.44,-1119420.1,1110712.6,54900.613,-978662.44,54900.613,1852471.0,3870522.0,1349358.0,1945575.0,280.80435,91.516304,270.0,81.0,0.12722617,-0.3600732,2.0251727,7.891395,3.5405037,2051480.5,562715.1,663863.25,-0.24865542,2.3933103,0.22644556,36250.0,8100.0,13212.0,30488.355,2793.6465,8728.159,22020.0,1282.0,5995.0,2051480.5,53161.1,-10725.096,53161.1,562715.1,113062.33,-10725.096,113062.33,663863.25,149149040.0,13666519.0,42698156.0,1.5443536,8.089576,0.39539555,37.384777,2.0,37.384777,21.931713,18.692389,0.0,279.0,95.0
1,0,2,180,180,1.0,0.0,137.29843,115.55498,134.98361,118.13115,1.926524,191.0,3224.6667,9.290797,4.0,136.0,117.0,61.0,435.0,0.43908045,0.8711836,7098680.5,4829555.0,1663254.8,151.0,125.0,0.97492015,0.2225548,0.2225548,-0.97492015,0.7018665,0.24191186,0.634639,191.0,28460.0,16443.0,16305.0,18519.303,10569.712,11436.168,-0.80867064,-0.5311576,0.25283077,0.5843672,-0.7747105,0.24153392,0.06757807,0.3430674,0.9368767,13363.0,5758.0,8763.0,7098680.5,-3492362.8,-604209.44,-3492362.8,4829555.0,90125.586,-604209.44,90125.586,1663254.8,3537187.0,2018815.0,2184308.0,137.29843,115.55498,122.0,110.0,1.1562959,-0.3651336,0.8909383,7.1946406,3.066845,9111730.0,2322125.2,855927.44,-1.9303262,2.518707,0.8768276,39308.0,11885.0,15914.0,30820.975,3294.0803,8900.12,13713.0,1475.0,5873.0,9111730.0,-2096637.2,-645024.4,-2096637.2,2322125.2,592229.3,-645024.4,592229.3,855927.44,150067330.0,16038877.0,43334684.0,7.703906,6.811274,3.2431893,40.62742,3.0,33.384777,27.0,13.542472,0.0,137.0,116.0
2,0,3,180,180,1.0,0.0,128.39766,140.09941,130.33778,137.28444,0.83464545,171.0,4943.5835,7.6768646,4.0,129.5,138.5,56.25,396.0,0.4318182,1.2752548,18290244.0,2084203.9,1100430.0,141.0,148.0,0.81458384,0.5800459,0.5800459,-0.81458384,0.51815,0.032684702,-0.024993343,171.0,31901.0,11885.0,12766.0,20579.38,8388.9,10291.965,-0.9607792,-0.27455825,-0.039001983,0.24802531,-0.78785366,-0.563711,0.124043636,-0.55127525,0.8250508,13713.0,5301.0,7834.0,18290244.0,-4460329.0,-2216236.2,-4460329.0,2084203.9,730951.3,-2216236.2,730951.3,1100430.0,3519074.0,1434502.0,1759926.0,128.39766,140.09941,119.0,130.0,-0.6922939,-0.8493051,-0.8097803,6.801154,2.3601768,10983386.0,3695661.8,1092828.1,-2.032464,3.1223705,1.297113,39308.0,16443.0,16305.0,30581.846,3432.4875,8999.111,13363.0,1461.0,5873.0,10983386.0,-3747558.5,-1373720.5,-3747558.5,3695661.8,1054342.5,-1373720.5,1054342.5,1092828.1,138872160.0,15586926.0,40864964.0,7.0203595,11.055155,4.468185,74.18377,16.0,27.727922,23.43075,4.6364856,0.0,128.0,142.0
3,0,4,180,180,1.0,0.0,438.80087,171.06859,445.91837,165.49878,3.928856,452.0,191811.58,14.1094055,4.0,444.0,167.0,306.25,1677.0,0.26952893,1.9781015,14428957.0,958831.0,1094200.8,464.0,189.0,0.52202624,-0.8529294,0.8529294,0.52202624,0.5602937,-0.16771248,0.3633608,452.0,30224.0,9074.0,14097.0,20374.137,6537.743,10379.425,-0.98282444,0.16122326,-0.089795,0.14850256,0.40207323,-0.9034844,0.10955854,0.9013014,0.41910946,14472.0,4065.0,7185.0,14428957.0,-2064030.6,-1480887.4,-2064030.6,958831.0,388801.66,-1480887.4,388801.66,1094200.8,9209110.0,2955060.0,4691500.0,438.80087,171.06859,425.0,146.0,-0.66639245,-0.555742,0.56029797,14.402776,7.970645,3360474.8,412155.44,644560.5,0.59474546,1.67821,0.19739047,39356.0,6657.0,12381.0,31135.875,2903.1343,8821.318,23145.0,1413.0,5809.0,3360474.8,315398.75,99445.9,315398.75,412155.44,58791.203,99445.9,58791.203,644560.5,217048200.0,20237748.0,61493410.0,0.74996626,4.623759,0.29009128,77.42641,2.0,77.42641,39.962482,38.713203,0.0,432.0,177.0
4,0,5,0,180,1.0,0.0,48.312977,183.21375,46.785236,180.93289,1.5463308,262.0,2781.6667,11.216984,4.0,47.5,182.0,74.5,560.0,0.46785715,-0.76150596,5178001.5,3064722.2,1818515.4,56.0,200.0,-0.032085314,-0.99948514,0.99948514,-0.032085314,0.77977115,0.30347958,1.4734709,262.0,26626.0,16623.0,17759.0,19957.68,10478.252,10912.386,-0.85761666,-0.5141694,0.011114389,0.4591123,-0.7751643,-0.43397722,0.23175327,-0.36708334,0.9008553,15323.0,6585.0,8064.0,5178001.5,-1427670.5,-734141.0,-1427670.5,3064722.2,810394.25,-734141.0,810394.25,1818515.4,5228912.0,2745302.0,2859045.0,48.312977,183.21375,40.0,165.0,0.2207287,0.16726336,3.9916713,8.110853,3.782468,17931686.0,5926453.0,949482.6,-1.1502663,2.184432,0.64102685,42771.0,19089.0,15374.0,30789.135,4061.9905,9040.683,13786.0,1549.0,6106.0,17931686.0,-5649045.5,-1496274.5,-5649045.5,5926453.0,1325988.4,-1496274.5,1325988.4,949482.6,162135580.0,21390442.0,47608230.0,2.061075,5.677943,1.0251181,95.325905,19.0,39.79899,34.058773,5.017153,0.0,47.0,182.0
5,0,6,180,180,1.0,0.0,104.94253,176.06897,105.111115,177.33333,0.0,87.0,117.0,5.2198567,3.0,105.0,176.5,15.0,132.0,0.65909094,-1.1520697,14700706.0,1258866.8,874962.94,111.0,183.0,0.6303816,-0.7762854,0.7762854,0.6303816,0.44023708,-0.069690764,0.41135287,87.0,28523.0,9398.0,13073.0,20651.932,6977.3105,9625.333,-0.970177,-0.044951305,-0.23819326,0.20676857,-0.6663052,-0.71643853,0.12650456,0.744323,-0.65572846,14983.0,4686.0,7505.0,14700706.0,-3012653.2,-1851896.6,-3012653.2,1258866.8,310127.16,-1851896.6,310127.16,874962.94,1796718.0,607026.0,837404.0,104.94253,176.06897,100.0,171.0,-1.0137464,-0.70798945,1.0141233,3.5862784,1.9338417,7937248.0,1040546.5,675317.25,-2.061833,2.2155066,0.21520822,38037.0,9423.0,12337.0,30634.783,3076.8154,8874.989,14577.0,1424.0,5995.0,7937248.0,-1167820.8,-507558.9,-1167820.8,1040546.5,180180.58,-507558.9,180180.58,675317.25,116412180.0,11691899.0,33724960.0,7.875053,6.2807016,0.18628258,38.79899,9.0,14.899495,13.453624,4.310999,0.0,105.0,176.0
6,0,7,0,180,1.0,0.0,33.532257,198.01613,32.23256,197.97675,-5.6522007,62.0,128.25,4.6295924,4.0,33.0,198.0,10.75,105.0,0.5904762,0.060417265,8463450.0,806456.1,1166989.6,41.0,202.0,0.96320873,0.26875436,0.26875436,-0.96320873,1.0214809,0.04833632,0.43033436,62.0,29382.0,10199.0,13693.0,21744.727,8029.032,10536.887,-0.98935634,0.145501,0.0018576822,0.05740755,0.40201876,-0.91383004,0.13371001,0.9039969,0.40609267,17842.0,5945.0,8135.0,8463450.0,-426973.22,-996240.4,-426973.22,806456.1,196636.3,-996240.4,196636.3,1166989.6,1348173.0,497800.0,653287.0,33.532257,198.01613,26.0,195.0,0.2796524,-0.21131757,0.018784983,3.8062067,1.3453164,30171844.0,6783935.0,1268076.6,-0.9436404,1.0710888,0.97378474,42771.0,16623.0,17759.0,30550.195,5087.599,9252.132,15323.0,1599.0,6209.0,30171844.0,-10223563.0,-3182373.5,-10223563.0,6783935.0,1840361.0,-3182373.5,1840361.0,1268076.6,113188470.0,18849556.0,34279148.0,-0.049112957,0.4212536,2.8467638,27.31371,8.0,15.656855,14.56022,3.4142137,0.0,33.0,198.0
7,0,8,0,180,1.0,0.0,109.23743,208.02794,114.77237,207.25131,2.6722453,358.0,41112.0,10.41787,4.0,113.0,207.5,190.0,1118.0,0.32021466,1.6258222,9730250.0,2242936.8,960376.4,135.0,221.0,0.99991816,-0.012794043,-0.012794043,-0.99991816,0.4355541,1.4034024,0.1942462,358.0,30891.0,11803.0,12875.0,21035.078,6262.226,9900.665,-0.9708216,0.23517136,-0.04690263,0.22437793,0.9598458,0.16837656,0.08461664,0.15293968,-0.98460627,14577.0,3849.0,6537.0,9730250.0,-1814151.5,-732274.75,-1814151.5,2242936.8,321103.8,-732274.75,321103.8,960376.4,7530558.0,2241877.0,3544438.0,109.23743,208.02794,92.0,195.0,-0.21166742,2.0107937,0.1987645,12.056245,7.0916095,17441688.0,6372845.0,1154413.8,-1.6614131,2.5955887,1.6280584,41728.0,19089.0,18535.0,30973.861,4008.2332,9023.911,13274.0,1424.0,5995.0,17441688.0,-6803073.5,-2011079.0,-6803073.5,6372845.0,1542558.0,-2011079.0,1542558.0,1154413.8,196188450.0,25388148.0,57157452.0,4.044269,6.994652,7.2881894,82.18377,2.0,82.18377,21.023796,41.091885,0.0,102.0,219.0
8,0,9,0,180,1.0,0.0,160.16588,213.33649,162.86966,212.10338,-2.6132603,211.0,18011.584,9.144665,4.0,162.0,212.5,111.25,656.0,0.32164633,0.60532016,7056788.0,7087588.0,3260303.5,183.0,221.0,0.9592987,0.28239343,0.28239343,-0.9592987,0.26583946,-0.19400619,0.97194254,211.0,25141.0,15683.0,18535.0,18299.492,10588.422,11960.654,-0.6706235,-0.67050153,-0.3173199,0.679928,-0.3845796,-0.6243368,0.29658398,-0.6344496,0.71380085,13274.0,4563.0,8861.0,7056788.0,-4679359.5,-1936856.8,-4679359.5,7087588.0,2188761.8,-1936856.8,2188761.8,3260303.5,3861193.0,2234157.0,2523698.0,160.16588,213.33649,142.0,205.0,-0.49540514,-1.1198627,0.9697836,11.99959,1.7257214,8884252.0,2716981.5,853783.0,-1.3115194,2.5804887,0.7424608,39935.0,14800.0,16519.0,30684.145,3413.5918,8881.27,15465.0,1424.0,5995.0,8884252.0,-1752310.4,-531997.8,-1752310.4,2716981.5,684726.06,-531997.8,684726.06,853783.0,168179790.0,18709896.0,48678236.0,4.6538363,7.703197,2.370297,46.62742,2.0,46.62742,41.231056,23.31371,0.0,162.0,214.0
9,0,10,0,180,1.0,0.0,19.532467,210.76624,17.921053,209.96053,0.0,154.0,21.333334,8.091587,3.0,19.0,210.5,25.333334,230.0,0.6695652,-1.7320508,8454607.0,1297964.6,972881.7,31.0,216.0,0.9920264,0.12603043,0.12603043,-0.9920264,0.7599706,0.1951489,0.43914297,154.0,29823.0,10927.0,14101.0,21191.033,8369.247,10404.11,-0.96409535,0.24903299,-0.092209935,0.23724289,0.65170145,-0.72041726,0.11931431,0.71642715,0.68738365,16303.0,5443.0,8126.0,8454607.0,-1856112.4,-906869.5,-1856112.4,1297964.6,363575.72,-906869.5,363575.72,972881.7,3263419.0,1288864.0,1602233.0,19.532467,210.76624,8.0,206.0,-0.08884472,-0.3481135,0.5336289,5.728829,2.2530236,24589840.0,4907686.0,1157004.8,-1.061669,1.1731979,1.0706623,42771.0,13767.0,17759.0,30892.55,4651.643,9112.168,14931.0,1593.0,6209.0,24589840.0,-6662389.5,-2235340.5,-6662389.5,4907686.0,1401348.5,-2235340.5,1401348.5,1157004.8,105220030.0,15843497.0,31036044.0,0.6939949,0.78593224,3.8147788,62.35534,13.0,24.485281,22.36068,4.7965646,0.0,20.0,210.0
