 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height
1,9.557,3494.737,297.915,2627,4446,2.880,44.587,2.987,3.200
2,9.557,3551.979,304.180,2565,4414,2.667,40.000,2.987,3.200
3,9.557,3555.714,307.469,2667,4762,10.773,39.787,2.987,3.200
4,9.557,3501.619,299.938,2581,4582,11.733,47.040,2.987,3.200
5,10.194,3556.779,305.549,2606,4709,17.067,41.813,2.987,3.413
6,10.194,3545.621,317.641,2615,4656,27.947,42.347,2.987,3.413
7,10.194,3549.205,303.452,2504,4568,36.267,41.707,2.987,3.413
8,10.194,3535.689,287.627,2757,4654,45.013,42.027,2.987,3.413
9,10.194,3554.530,292.850,2640,4547,47.787,26.240,2.987,3.413
10,10.194,3605.279,304.875,2776,4721,39.680,15.253,2.987,3.413
