"totInt","cellArea","cellnum","bkgrdInt","frame","cond","time","strain"
368381,167,2,1420.3088,1,"vector",0,"LZ22326"
195495,88,3,1420.3088,1,"vector",0,"LZ22326"
478726,215,4,1420.3088,1,"vector",0,"LZ22326"
161275,67,5,1420.3088,1,"vector",0,"LZ22326"
243800,112,6,1420.3088,1,"vector",0,"LZ22326"
192883,92,7,1420.3088,1,"vector",0,"LZ22326"
365986,170,8,1420.3088,1,"vector",0,"LZ22326"
325852,124,9,1420.3088,1,"vector",0,"LZ22326"
307644,122,10,1420.3088,1,"vector",0,"LZ22326"
180209,80,11,1420.3088,1,"vector",0,"LZ22326"
176909,78,12,1420.3088,1,"vector",0,"LZ22326"
261601,126,13,1420.3088,1,"vector",0,"LZ22326"
245519,100,14,1420.3088,1,"vector",0,"LZ22326"
255316,104,15,1420.3088,1,"vector",0,"LZ22326"
185570,82,16,1420.3088,1,"vector",0,"LZ22326"
266585,120,17,1420.3088,1,"vector",0,"LZ22326"
267092,117,18,1420.3088,1,"vector",0,"LZ22326"
164914,66,19,1420.3088,1,"vector",0,"LZ22326"
241484,92,20,1420.3088,1,"vector",0,"LZ22326"
316551,121,21,1420.3088,1,"vector",0,"LZ22326"
448562,171,22,1420.3088,1,"vector",0,"LZ22326"
502956,190,1,1440.2124,2,"vector",0,"LZ22326"
266116,113,2,1440.2124,2,"vector",0,"LZ22326"
364165,124,3,1440.2124,2,"vector",0,"LZ22326"
221330,79,4,1440.2124,2,"vector",0,"LZ22326"
213651,102,5,1440.2124,2,"vector",0,"LZ22326"
352535,155,6,1440.2124,2,"vector",0,"LZ22326"
523023,223,7,1440.2124,2,"vector",0,"LZ22326"
302602,142,8,1440.2124,2,"vector",0,"LZ22326"
402502,170,9,1440.2124,2,"vector",0,"LZ22326"
253908,107,10,1440.2124,2,"vector",0,"LZ22326"
313669,135,11,1440.2124,2,"vector",0,"LZ22326"
461218,178,12,1440.2124,2,"vector",0,"LZ22326"
365532,149,13,1440.2124,2,"vector",0,"LZ22326"
89752,40,14,1440.2124,2,"vector",0,"LZ22326"
201633,92,15,1440.2124,2,"vector",0,"LZ22326"
234666,108,16,1440.2124,2,"vector",0,"LZ22326"
324581,152,17,1440.2124,2,"vector",0,"LZ22326"
570354,215,18,1440.2124,2,"vector",0,"LZ22326"
326309,157,19,1440.2124,2,"vector",0,"LZ22326"
319183,129,20,1440.2124,2,"vector",0,"LZ22326"
188359,82,21,1440.2124,2,"vector",0,"LZ22326"
301735,138,22,1440.2124,2,"vector",0,"LZ22326"
254046,130,1,1372.8276,3,"vector",0,"LZ22326"
490734,246,2,1372.8276,3,"vector",0,"LZ22326"
118088,59,3,1372.8276,3,"vector",0,"LZ22326"
226414,117,4,1372.8276,3,"vector",0,"LZ22326"
153014,79,5,1372.8276,3,"vector",0,"LZ22326"
336349,168,6,1372.8276,3,"vector",0,"LZ22326"
188800,104,7,1372.8276,3,"vector",0,"LZ22326"
220311,102,8,1372.8276,3,"vector",0,"LZ22326"
356730,172,9,1372.8276,3,"vector",0,"LZ22326"
238742,125,10,1372.8276,3,"vector",0,"LZ22326"
352061,156,11,1372.8276,3,"vector",0,"LZ22326"
150610,70,12,1372.8276,3,"vector",0,"LZ22326"
278805,114,13,1372.8276,3,"vector",0,"LZ22326"
346960,181,14,1372.8276,3,"vector",0,"LZ22326"
302242,162,15,1372.8276,3,"vector",0,"LZ22326"
220028,115,1,1393.6428,4,"vector",0,"LZ22326"
362528,172,2,1393.6428,4,"vector",0,"LZ22326"
263016,120,3,1393.6428,4,"vector",0,"LZ22326"
167374,82,1,1353.6298,5,"vector",0,"LZ22326"
253582,122,2,1353.6298,5,"vector",0,"LZ22326"
227942,106,3,1353.6298,5,"vector",0,"LZ22326"
150631,74,4,1353.6298,5,"vector",0,"LZ22326"
179627,92,5,1353.6298,5,"vector",0,"LZ22326"
307461,149,6,1353.6298,5,"vector",0,"LZ22326"
300390,149,7,1353.6298,5,"vector",0,"LZ22326"
273015,123,8,1353.6298,5,"vector",0,"LZ22326"
376273,197,9,1353.6298,5,"vector",0,"LZ22326"
382663,185,10,1353.6298,5,"vector",0,"LZ22326"
183652,87,11,1353.6298,5,"vector",0,"LZ22326"
328320,157,12,1353.6298,5,"vector",0,"LZ22326"
220173,110,13,1353.6298,5,"vector",0,"LZ22326"
322360,138,14,1353.6298,5,"vector",0,"LZ22326"
205150,104,15,1353.6298,5,"vector",0,"LZ22326"
210153,100,16,1353.6298,5,"vector",0,"LZ22326"
282739,157,17,1353.6298,5,"vector",0,"LZ22326"
308719,152,18,1353.6298,5,"vector",0,"LZ22326"
152436,73,19,1353.6298,5,"vector",0,"LZ22326"
244685,104,20,1353.6298,5,"vector",0,"LZ22326"
199478,89,21,1353.6298,5,"vector",0,"LZ22326"
236415,109,22,1353.6298,5,"vector",0,"LZ22326"
307987,140,23,1353.6298,5,"vector",0,"LZ22326"
204229,82,24,1353.6298,5,"vector",0,"LZ22326"
185560,86,25,1353.6298,5,"vector",0,"LZ22326"
345391,155,26,1353.6298,5,"vector",0,"LZ22326"
348030,167,27,1353.6298,5,"vector",0,"LZ22326"
231072,91,28,1353.6298,5,"vector",0,"LZ22326"
197387,75,29,1353.6298,5,"vector",0,"LZ22326"
183513,70,30,1353.6298,5,"vector",0,"LZ22326"
253651,140,1,1359.6015,6,"vector",0,"LZ22326"
207181,112,2,1359.6015,6,"vector",0,"LZ22326"
305009,150,3,1359.6015,6,"vector",0,"LZ22326"
409996,180,4,1359.6015,6,"vector",0,"LZ22326"
382264,142,5,1359.6015,6,"vector",0,"LZ22326"
357299,165,6,1359.6015,6,"vector",0,"LZ22326"
336400,129,7,1359.6015,6,"vector",0,"LZ22326"
346108,138,8,1359.6015,6,"vector",0,"LZ22326"
218796,101,9,1359.6015,6,"vector",0,"LZ22326"
188075,95,10,1359.6015,6,"vector",0,"LZ22326"
357836,138,11,1359.6015,6,"vector",0,"LZ22326"
344305,158,2,1454.8552,2,"vector",60,"LZ22326"
250821,109,3,1454.8552,2,"vector",60,"LZ22326"
204200,89,4,1454.8552,2,"vector",60,"LZ22326"
183670,81,5,1454.8552,2,"vector",60,"LZ22326"
221907,102,6,1454.8552,2,"vector",60,"LZ22326"
322237,147,1,1391.1893,4,"vector",60,"LZ22326"
196710,106,2,1391.1893,4,"vector",60,"LZ22326"
176134,86,3,1391.1893,4,"vector",60,"LZ22326"
262182,131,4,1391.1893,4,"vector",60,"LZ22326"
366296,185,5,1391.1893,4,"vector",60,"LZ22326"
284172,146,6,1391.1893,4,"vector",60,"LZ22326"
326688,155,7,1391.1893,4,"vector",60,"LZ22326"
390505,184,1,1417.0744,5,"vector",60,"LZ22326"
311034,141,2,1417.0744,5,"vector",60,"LZ22326"
357975,165,3,1417.0744,5,"vector",60,"LZ22326"
207049,104,4,1417.0744,5,"vector",60,"LZ22326"
260830,127,1,1384.7515,6,"vector",60,"LZ22326"
376448,170,2,1384.7515,6,"vector",60,"LZ22326"
246655,115,3,1384.7515,6,"vector",60,"LZ22326"
151165,67,4,1384.7515,6,"vector",60,"LZ22326"
193530,94,5,1384.7515,6,"vector",60,"LZ22326"
322107,150,6,1384.7515,6,"vector",60,"LZ22326"
199553,98,7,1384.7515,6,"vector",60,"LZ22326"
217483,112,8,1384.7515,6,"vector",60,"LZ22326"
211628,101,9,1384.7515,6,"vector",60,"LZ22326"
323897,148,10,1384.7515,6,"vector",60,"LZ22326"
261283,106,11,1384.7515,6,"vector",60,"LZ22326"
153046,66,12,1384.7515,6,"vector",60,"LZ22326"
185666,83,13,1384.7515,6,"vector",60,"LZ22326"
216628,107,14,1384.7515,6,"vector",60,"LZ22326"
307829,150,15,1384.7515,6,"vector",60,"LZ22326"
245490,113,16,1384.7515,6,"vector",60,"LZ22326"
274161,128,17,1384.7515,6,"vector",60,"LZ22326"
217956,105,18,1384.7515,6,"vector",60,"LZ22326"
154459,74,19,1384.7515,6,"vector",60,"LZ22326"
157110,74,20,1384.7515,6,"vector",60,"LZ22326"
217638,108,21,1384.7515,6,"vector",60,"LZ22326"
114805,54,22,1384.7515,6,"vector",60,"LZ22326"
201473,103,23,1384.7515,6,"vector",60,"LZ22326"
226862,119,24,1384.7515,6,"vector",60,"LZ22326"
171243,94,25,1384.7515,6,"vector",60,"LZ22326"
583512,288,1,1375.0346,7,"vector",60,"LZ22326"
366563,151,2,1375.0346,7,"vector",60,"LZ22326"
366138,169,3,1375.0346,7,"vector",60,"LZ22326"
281931,131,4,1375.0346,7,"vector",60,"LZ22326"
297362,140,5,1375.0346,7,"vector",60,"LZ22326"
316240,151,6,1375.0346,7,"vector",60,"LZ22326"
272546,139,7,1375.0346,7,"vector",60,"LZ22326"
195183,102,8,1375.0346,7,"vector",60,"LZ22326"
134406,77,9,1375.0346,7,"vector",60,"LZ22326"
244405,106,10,1375.0346,7,"vector",60,"LZ22326"
204297,92,11,1375.0346,7,"vector",60,"LZ22326"
260877,126,12,1375.0346,7,"vector",60,"LZ22326"
209395,90,13,1375.0346,7,"vector",60,"LZ22326"
266140,104,14,1375.0346,7,"vector",60,"LZ22326"
302414,132,15,1375.0346,7,"vector",60,"LZ22326"
111123,51,16,1375.0346,7,"vector",60,"LZ22326"
324053,146,17,1375.0346,7,"vector",60,"LZ22326"
255862,129,1,1413.7067,8,"vector",60,"LZ22326"
308975,149,1,1438.2645,17,"vector",60,"LZ22326"
306003,145,2,1438.2645,17,"vector",60,"LZ22326"
345149,158,3,1438.2645,17,"vector",60,"LZ22326"
209892,95,4,1438.2645,17,"vector",60,"LZ22326"
277877,126,5,1438.2645,17,"vector",60,"LZ22326"
201269,96,6,1438.2645,17,"vector",60,"LZ22326"
385259,183,7,1438.2645,17,"vector",60,"LZ22326"
196610,83,8,1438.2645,17,"vector",60,"LZ22326"
530250,208,9,1438.2645,17,"vector",60,"LZ22326"
267707,120,10,1438.2645,17,"vector",60,"LZ22326"
378804,140,11,1438.2645,17,"vector",60,"LZ22326"
324522,132,12,1438.2645,17,"vector",60,"LZ22326"
177088,77,13,1438.2645,17,"vector",60,"LZ22326"
264322,113,14,1438.2645,17,"vector",60,"LZ22326"
246079,105,15,1438.2645,17,"vector",60,"LZ22326"
296481,124,16,1438.2645,17,"vector",60,"LZ22326"
405020,183,17,1438.2645,17,"vector",60,"LZ22326"
356433,172,18,1438.2645,17,"vector",60,"LZ22326"
414481,164,19,1438.2645,17,"vector",60,"LZ22326"
368930,149,20,1438.2645,17,"vector",60,"LZ22326"
316279,141,21,1438.2645,17,"vector",60,"LZ22326"
215309,93,22,1438.2645,17,"vector",60,"LZ22326"
297765,142,23,1438.2645,17,"vector",60,"LZ22326"
490443,220,24,1438.2645,17,"vector",60,"LZ22326"
286937,163,1,1374.7391,18,"vector",60,"LZ22326"
425452,238,2,1374.7391,18,"vector",60,"LZ22326"
349304,185,3,1374.7391,18,"vector",60,"LZ22326"
362103,186,1,1415.5457,19,"vector",60,"LZ22326"
292783,139,2,1415.5457,19,"vector",60,"LZ22326"
372195,191,3,1415.5457,19,"vector",60,"LZ22326"
339345,160,4,1415.5457,19,"vector",60,"LZ22326"
488723,263,5,1415.5457,19,"vector",60,"LZ22326"
264453,131,6,1415.5457,19,"vector",60,"LZ22326"
200096,102,7,1415.5457,19,"vector",60,"LZ22326"
665686,315,8,1415.5457,19,"vector",60,"LZ22326"
521778,255,9,1415.5457,19,"vector",60,"LZ22326"
448977,194,10,1415.5457,19,"vector",60,"LZ22326"
215095,100,11,1415.5457,19,"vector",60,"LZ22326"
344994,150,12,1415.5457,19,"vector",60,"LZ22326"
322267,158,13,1415.5457,19,"vector",60,"LZ22326"
397470,181,14,1415.5457,19,"vector",60,"LZ22326"
351746,154,15,1415.5457,19,"vector",60,"LZ22326"
134443,58,16,1415.5457,19,"vector",60,"LZ22326"
392688,196,17,1415.5457,19,"vector",60,"LZ22326"
146780,71,18,1415.5457,19,"vector",60,"LZ22326"
233428,99,19,1415.5457,19,"vector",60,"LZ22326"
301863,138,20,1415.5457,19,"vector",60,"LZ22326"
281555,122,21,1415.5457,19,"vector",60,"LZ22326"
201570,86,22,1415.5457,19,"vector",60,"LZ22326"
247432,119,23,1415.5457,19,"vector",60,"LZ22326"
202548,96,24,1415.5457,19,"vector",60,"LZ22326"
292244,125,25,1415.5457,19,"vector",60,"LZ22326"
587134,257,26,1415.5457,19,"vector",60,"LZ22326"
183900,84,27,1415.5457,19,"vector",60,"LZ22326"
253363,108,28,1415.5457,19,"vector",60,"LZ22326"
169615,80,29,1415.5457,19,"vector",60,"LZ22326"
227629,109,30,1415.5457,19,"vector",60,"LZ22326"
351521,169,31,1415.5457,19,"vector",60,"LZ22326"
471420,213,32,1415.5457,19,"vector",60,"LZ22326"
202643,84,2,1785.1483,1,"ochre",0,"LZ22328"
219213,93,3,1785.1483,1,"ochre",0,"LZ22328"
412249,156,4,1785.1483,1,"ochre",0,"LZ22328"
245860,88,5,1785.1483,1,"ochre",0,"LZ22328"
305774,117,6,1785.1483,1,"ochre",0,"LZ22328"
285653,102,7,1785.1483,1,"ochre",0,"LZ22328"
263792,99,8,1785.1483,1,"ochre",0,"LZ22328"
257807,91,9,1785.1483,1,"ochre",0,"LZ22328"
501481,201,10,1785.1483,1,"ochre",0,"LZ22328"
399719,138,11,1785.1483,1,"ochre",0,"LZ22328"
424198,172,12,1785.1483,1,"ochre",0,"LZ22328"
189503,71,13,1785.1483,1,"ochre",0,"LZ22328"
312666,106,14,1785.1483,1,"ochre",0,"LZ22328"
250045,88,15,1785.1483,1,"ochre",0,"LZ22328"
313372,114,16,1785.1483,1,"ochre",0,"LZ22328"
505009,155,17,1785.1483,1,"ochre",0,"LZ22328"
197085,62,18,1785.1483,1,"ochre",0,"LZ22328"
422827,140,19,1785.1483,1,"ochre",0,"LZ22328"
498445,184,20,1785.1483,1,"ochre",0,"LZ22328"
309967,128,1,1807.8622,3,"ochre",0,"LZ22328"
278314,122,2,1807.8622,3,"ochre",0,"LZ22328"
294110,127,3,1807.8622,3,"ochre",0,"LZ22328"
347973,146,4,1807.8622,3,"ochre",0,"LZ22328"
449617,193,5,1807.8622,3,"ochre",0,"LZ22328"
413281,158,6,1807.8622,3,"ochre",0,"LZ22328"
398747,156,7,1807.8622,3,"ochre",0,"LZ22328"
197445,81,8,1807.8622,3,"ochre",0,"LZ22328"
207283,88,9,1807.8622,3,"ochre",0,"LZ22328"
295166,114,10,1807.8622,3,"ochre",0,"LZ22328"
533306,178,11,1807.8622,3,"ochre",0,"LZ22328"
268589,110,12,1807.8622,3,"ochre",0,"LZ22328"
615746,193,13,1807.8622,3,"ochre",0,"LZ22328"
324284,108,14,1807.8622,3,"ochre",0,"LZ22328"
372594,141,15,1807.8622,3,"ochre",0,"LZ22328"
402177,158,16,1807.8622,3,"ochre",0,"LZ22328"
237271,95,17,1807.8622,3,"ochre",0,"LZ22328"
412704,147,1,1728.2363,4,"ochre",0,"LZ22328"
305537,126,2,1728.2363,4,"ochre",0,"LZ22328"
321098,129,3,1728.2363,4,"ochre",0,"LZ22328"
221477,97,4,1728.2363,4,"ochre",0,"LZ22328"
228502,96,5,1728.2363,4,"ochre",0,"LZ22328"
341004,135,6,1728.2363,4,"ochre",0,"LZ22328"
280024,118,7,1728.2363,4,"ochre",0,"LZ22328"
339511,143,8,1728.2363,4,"ochre",0,"LZ22328"
440004,191,9,1728.2363,4,"ochre",0,"LZ22328"
392025,174,10,1728.2363,4,"ochre",0,"LZ22328"
165602,68,11,1728.2363,4,"ochre",0,"LZ22328"
234966,98,12,1728.2363,4,"ochre",0,"LZ22328"
247390,102,13,1728.2363,4,"ochre",0,"LZ22328"
272063,104,14,1728.2363,4,"ochre",0,"LZ22328"
443649,157,15,1728.2363,4,"ochre",0,"LZ22328"
414899,158,16,1728.2363,4,"ochre",0,"LZ22328"
257096,114,17,1728.2363,4,"ochre",0,"LZ22328"
224873,92,18,1728.2363,4,"ochre",0,"LZ22328"
283687,107,19,1728.2363,4,"ochre",0,"LZ22328"
383271,145,20,1728.2363,4,"ochre",0,"LZ22328"
357915,124,21,1728.2363,4,"ochre",0,"LZ22328"
237096,86,22,1728.2363,4,"ochre",0,"LZ22328"
435837,156,23,1728.2363,4,"ochre",0,"LZ22328"
400488,188,1,1644.2955,6,"ochre",0,"LZ22328"
309595,131,2,1644.2955,6,"ochre",0,"LZ22328"
319893,153,3,1644.2955,6,"ochre",0,"LZ22328"
431220,188,4,1644.2955,6,"ochre",0,"LZ22328"
165136,78,5,1644.2955,6,"ochre",0,"LZ22328"
334205,147,6,1644.2955,6,"ochre",0,"LZ22328"
331343,122,7,1644.2955,6,"ochre",0,"LZ22328"
236482,95,8,1644.2955,6,"ochre",0,"LZ22328"
192248,81,9,1644.2955,6,"ochre",0,"LZ22328"
214426,95,10,1644.2955,6,"ochre",0,"LZ22328"
418301,170,11,1644.2955,6,"ochre",0,"LZ22328"
325196,127,12,1644.2955,6,"ochre",0,"LZ22328"
276726,119,13,1644.2955,6,"ochre",0,"LZ22328"
277394,137,14,1644.2955,6,"ochre",0,"LZ22328"
244911,109,15,1644.2955,6,"ochre",0,"LZ22328"
194308,92,16,1644.2955,6,"ochre",0,"LZ22328"
401542,189,17,1644.2955,6,"ochre",0,"LZ22328"
206867,93,18,1644.2955,6,"ochre",0,"LZ22328"
215503,93,19,1644.2955,6,"ochre",0,"LZ22328"
323754,136,20,1644.2955,6,"ochre",0,"LZ22328"
736385,339,1,1673.4543,7,"ochre",0,"LZ22328"
580919,210,2,1673.4543,7,"ochre",0,"LZ22328"
441240,157,3,1673.4543,7,"ochre",0,"LZ22328"
260344,110,4,1673.4543,7,"ochre",0,"LZ22328"
249651,102,5,1673.4543,7,"ochre",0,"LZ22328"
333885,131,6,1673.4543,7,"ochre",0,"LZ22328"
217016,89,7,1673.4543,7,"ochre",0,"LZ22328"
338923,155,8,1673.4543,7,"ochre",0,"LZ22328"
322394,128,9,1673.4543,7,"ochre",0,"LZ22328"
429840,167,10,1673.4543,7,"ochre",0,"LZ22328"
313648,143,11,1673.4543,7,"ochre",0,"LZ22328"
199152,91,12,1673.4543,7,"ochre",0,"LZ22328"
208297,93,13,1673.4543,7,"ochre",0,"LZ22328"
371426,146,14,1673.4543,7,"ochre",0,"LZ22328"
193974,82,15,1673.4543,7,"ochre",0,"LZ22328"
235171,107,16,1673.4543,7,"ochre",0,"LZ22328"
332453,134,17,1673.4543,7,"ochre",0,"LZ22328"
264066,95,18,1673.4543,7,"ochre",0,"LZ22328"
274872,110,19,1673.4543,7,"ochre",0,"LZ22328"
198090,74,20,1673.4543,7,"ochre",0,"LZ22328"
419100,141,21,1673.4543,7,"ochre",0,"LZ22328"
190760,73,1,1716.028,9,"ochre",0,"LZ22328"
394897,147,2,1716.028,9,"ochre",0,"LZ22328"
347186,135,3,1716.028,9,"ochre",0,"LZ22328"
149977,59,4,1716.028,9,"ochre",0,"LZ22328"
136298,45,5,1716.028,9,"ochre",0,"LZ22328"
231250,85,6,1716.028,9,"ochre",0,"LZ22328"
317723,119,7,1716.028,9,"ochre",0,"LZ22328"
211239,79,8,1716.028,9,"ochre",0,"LZ22328"
374946,134,9,1716.028,9,"ochre",0,"LZ22328"
282560,91,10,1716.028,9,"ochre",0,"LZ22328"
351554,144,11,1716.028,9,"ochre",0,"LZ22328"
361341,124,12,1716.028,9,"ochre",0,"LZ22328"
440310,143,13,1716.028,9,"ochre",0,"LZ22328"
273410,117,14,1716.028,9,"ochre",0,"LZ22328"
292178,113,15,1716.028,9,"ochre",0,"LZ22328"
281199,112,16,1716.028,9,"ochre",0,"LZ22328"
118188,46,17,1716.028,9,"ochre",0,"LZ22328"
661948,225,18,1716.028,9,"ochre",0,"LZ22328"
500044,158,19,1716.028,9,"ochre",0,"LZ22328"
281206,121,20,1716.028,9,"ochre",0,"LZ22328"
487269,187,21,1716.028,9,"ochre",0,"LZ22328"
325655,159,1,1587.5952,12,"ochre",0,"LZ22328"
216914,103,2,1587.5952,12,"ochre",0,"LZ22328"
325407,140,3,1587.5952,12,"ochre",0,"LZ22328"
385420,154,4,1587.5952,12,"ochre",0,"LZ22328"
359304,140,5,1587.5952,12,"ochre",0,"LZ22328"
181417,85,6,1587.5952,12,"ochre",0,"LZ22328"
364109,151,7,1587.5952,12,"ochre",0,"LZ22328"
318410,134,8,1587.5952,12,"ochre",0,"LZ22328"
208467,93,9,1587.5952,12,"ochre",0,"LZ22328"
395910,159,10,1587.5952,12,"ochre",0,"LZ22328"
265053,104,11,1587.5952,12,"ochre",0,"LZ22328"
214921,102,12,1587.5952,12,"ochre",0,"LZ22328"
245546,105,13,1587.5952,12,"ochre",0,"LZ22328"
244755,102,14,1587.5952,12,"ochre",0,"LZ22328"
482761,188,15,1587.5952,12,"ochre",0,"LZ22328"
191887,80,16,1587.5952,12,"ochre",0,"LZ22328"
367385,157,17,1587.5952,12,"ochre",0,"LZ22328"
210368,102,18,1587.5952,12,"ochre",0,"LZ22328"
295465,126,19,1587.5952,12,"ochre",0,"LZ22328"
208182,96,20,1587.5952,12,"ochre",0,"LZ22328"
214797,146,2,1482.2817,1,"ochre",120,"LZ22328"
494039,229,3,1482.2817,1,"ochre",120,"LZ22328"
1409771,245,4,1482.2817,1,"ochre",120,"LZ22328"
674972,146,5,1482.2817,1,"ochre",120,"LZ22328"
1205038,183,6,1482.2817,1,"ochre",120,"LZ22328"
486870,230,7,1482.2817,1,"ochre",120,"LZ22328"
555045,248,8,1482.2817,1,"ochre",120,"LZ22328"
584840,151,9,1482.2817,1,"ochre",120,"LZ22328"
1001690,199,11,1482.2817,1,"ochre",120,"LZ22328"
739965,241,12,1482.2817,1,"ochre",120,"LZ22328"
1564743,277,13,1482.2817,1,"ochre",120,"LZ22328"
359796,125,14,1482.2817,1,"ochre",120,"LZ22328"
434080,112,15,1482.2817,1,"ochre",120,"LZ22328"
500503,112,16,1482.2817,1,"ochre",120,"LZ22328"
492245,98,17,1482.2817,1,"ochre",120,"LZ22328"
477543,169,18,1482.2817,1,"ochre",120,"LZ22328"
346910,75,19,1482.2817,1,"ochre",120,"LZ22328"
612090,166,20,1482.2817,1,"ochre",120,"LZ22328"
357852,110,21,1482.2817,1,"ochre",120,"LZ22328"
247011,80,22,1482.2817,1,"ochre",120,"LZ22328"
588173,130,23,1482.2817,1,"ochre",120,"LZ22328"
618055,213,24,1482.2817,1,"ochre",120,"LZ22328"
711381,156,25,1482.2817,1,"ochre",120,"LZ22328"
564930,162,26,1482.2817,1,"ochre",120,"LZ22328"
687718,199,27,1482.2817,1,"ochre",120,"LZ22328"
281055,103,28,1482.2817,1,"ochre",120,"LZ22328"
