"totInt","cellArea","cellnum","bkgrdInt","frame","cond","time","strain"
938353,395,2,1578.5525,1,"infected",120,"LZ22221"
2848801,255,3,1578.5525,1,"infected",120,"LZ22221"
4193746,281,4,1578.5525,1,"infected",120,"LZ22221"
8163035,437,5,1578.5525,1,"infected",120,"LZ22221"
198877,103,6,1578.5525,1,"infected",120,"LZ22221"
494278,128,1,1578.5523,2,"infected",120,"LZ22221"
2853081,213,2,1578.5523,2,"infected",120,"LZ22221"
1518377,103,3,1578.5523,2,"infected",120,"LZ22221"
8747989,472,1,1726.3051,3,"infected",120,"LZ22221"
3526763,209,2,1726.3051,3,"infected",120,"LZ22221"
1946397,149,3,1726.3051,3,"infected",120,"LZ22221"
414323,166,4,1726.3051,3,"infected",120,"LZ22221"
1236672,410,5,1726.3051,3,"infected",120,"LZ22221"
622586,331,1,1577.7066,4,"infected",120,"LZ22221"
419920,221,2,1577.7066,4,"infected",120,"LZ22221"
1794470,311,3,1577.7066,4,"infected",120,"LZ22221"
826704,357,4,1577.7066,4,"infected",120,"LZ22221"
1655151,221,1,1763.751,5,"infected",120,"LZ22221"
767262,253,2,1763.751,5,"infected",120,"LZ22221"
4298710,214,3,1763.751,5,"infected",120,"LZ22221"
7304747,451,4,1763.751,5,"infected",120,"LZ22221"
1012705,86,5,1763.751,5,"infected",120,"LZ22221"
1010669,76,6,1763.751,5,"infected",120,"LZ22221"
219865,114,7,1763.751,5,"infected",120,"LZ22221"
736974,92,8,1763.751,5,"infected",120,"LZ22221"
609488,277,1,1624.2351,6,"infected",120,"LZ22221"
2103243,297,2,1624.2351,6,"infected",120,"LZ22221"
764173,218,3,1624.2351,6,"infected",120,"LZ22221"
3732297,266,4,1624.2351,6,"infected",120,"LZ22221"
1264972,224,5,1624.2351,6,"infected",120,"LZ22221"
813655,151,6,1624.2351,6,"infected",120,"LZ22221"
5290774,244,1,1679.5544,7,"infected",120,"LZ22221"
4972949,216,2,1679.5544,7,"infected",120,"LZ22221"
622552,348,1,1522.1343,8,"infected",120,"LZ22221"
977055,316,2,1522.1343,8,"infected",120,"LZ22221"
3360744,286,3,1522.1343,8,"infected",120,"LZ22221"
511257,227,1,1646.3047,9,"infected",120,"LZ22221"
5239883,410,2,1646.3047,9,"infected",120,"LZ22221"
3052768,140,3,1646.3047,9,"infected",120,"LZ22221"
566375,91,4,1646.3047,9,"infected",120,"LZ22221"
579950,173,5,1646.3047,9,"infected",120,"LZ22221"
1293501,191,6,1646.3047,9,"infected",120,"LZ22221"
3822570,208,7,1646.3047,9,"infected",120,"LZ22221"
1160235,143,8,1646.3047,9,"infected",120,"LZ22221"
838545,173,9,1646.3047,9,"infected",120,"LZ22221"
4103403,198,10,1646.3047,9,"infected",120,"LZ22221"
329611,100,11,1646.3047,9,"infected",120,"LZ22221"
740108,126,12,1646.3047,9,"infected",120,"LZ22221"
2135818,132,13,1646.3047,9,"infected",120,"LZ22221"
344843,111,14,1646.3047,9,"infected",120,"LZ22221"
2227206,187,15,1646.3047,9,"infected",120,"LZ22221"
1313135,104,16,1646.3047,9,"infected",120,"LZ22221"
1799837,163,17,1646.3047,9,"infected",120,"LZ22221"
1393965,155,1,1628.2734,10,"infected",120,"LZ22221"
8219957,494,2,1628.2734,10,"infected",120,"LZ22221"
3180327,314,3,1628.2734,10,"infected",120,"LZ22221"
201442,131,4,1628.2734,10,"infected",120,"LZ22221"
2400270,149,5,1628.2734,10,"infected",120,"LZ22221"
1085771,156,6,1628.2734,10,"infected",120,"LZ22221"
5465929,239,7,1628.2734,10,"infected",120,"LZ22221"
1264244,88,8,1628.2734,10,"infected",120,"LZ22221"
1266115,99,9,1628.2734,10,"infected",120,"LZ22221"
6705690,220,10,1628.2734,10,"infected",120,"LZ22221"
2994372,239,11,1628.2734,10,"infected",120,"LZ22221"
4739726,383,1,1618.9617,11,"infected",120,"LZ22221"
3304551,188,2,1618.9617,11,"infected",120,"LZ22221"
1233633,448,3,1618.9617,11,"infected",120,"LZ22221"
601544,307,1,1627.1118,12,"infected",120,"LZ22221"
764266,371,2,1627.1118,12,"infected",120,"LZ22221"
