 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height
1,19.968,8273.288,741.206,5768,10608,6.507,4.160,4.800,4.160
2,19.968,8239.903,761.603,5917,10730,17.280,4.160,4.800,4.160
3,19.968,8181.352,752.950,5978,11597,26.773,4.160,4.800,4.160
4,19.968,8232.700,756.225,5716,10852,35.200,4.160,4.800,4.160
5,19.968,8213.150,753.078,5734,10936,44.160,3.733,4.800,4.160
6,19.968,8141.518,753.132,5744,10274,5.227,13.440,4.800,4.160
7,19.968,8128.544,758.127,5748,11078,15.573,13.333,4.800,4.160
8,19.968,8249.299,767.166,5711,10836,26.773,13.333,4.800,4.160
9,19.968,8154.958,765.598,5771,10977,38.613,13.547,4.800,4.160
10,19.968,8222.032,726.406,6136,10429,45.760,13.333,4.800,4.160
