object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Label 1,Probability of Label 2,Diameter,Number of Holes,Center of the Skeleton_0,Center of the Skeleton_1,Number of Branches,Euclidean Diameter,Length of the Skeleton,Average Branch Length,Total Intensity_0,Total Intensity_1,Total Intensity_2,Bounding Box Minimum_0,Bounding Box Minimum_1,Center of the object_0,Center of the object_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Minimum intensity_0,Minimum intensity_1,Minimum intensity_2,PrincipalAxes_0,PrincipalAxes_1,PrincipalAxes_2,PrincipalAxes_3,PrincipalAxes_4,PrincipalAxes_5,PrincipalAxes_6,PrincipalAxes_7,PrincipalAxes_8,Variance of Intensity_0,Variance of Intensity_1,Variance of Intensity_2,Maximum intensity_0,Maximum intensity_1,Maximum intensity_2,Mean Intensity_0,Mean Intensity_1,Mean Intensity_2,Radii of the object_0,Radii of the object_1,Covariance of Channel Intensity_0,Covariance of Channel Intensity_1,Covariance of Channel Intensity_2,Covariance of Channel Intensity_3,Covariance of Channel Intensity_4,Covariance of Channel Intensity_5,Covariance of Channel Intensity_6,Covariance of Channel Intensity_7,Covariance of Channel Intensity_8,Skewness of Intensity_0,Skewness of Intensity_1,Skewness of Intensity_2,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Size in pixels,Kurtosis of Intensity_0,Kurtosis of Intensity_1,Kurtosis of Intensity_2,Total Intensity in neighborhood_0,Total Intensity in neighborhood_1,Total Intensity in neighborhood_2,Minimum intensity in neighborhood_0,Minimum intensity in neighborhood_1,Minimum intensity in neighborhood_2,Variance of Intensity in neighborhood_0,Variance of Intensity in neighborhood_1,Variance of Intensity in neighborhood_2,Maximum intensity in neighborhood_0,Maximum intensity in neighborhood_1,Maximum intensity in neighborhood_2,Mean Intensity in neighborhood_0,Mean Intensity in neighborhood_1,Mean Intensity in neighborhood_2,Skewness of Intensity in neighborhood_0,Skewness of Intensity in neighborhood_1,Skewness of Intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_0,Covariance of Channel Intensity in neighborhood_1,Covariance of Channel Intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_3,Covariance of Channel Intensity in neighborhood_4,Covariance of Channel Intensity in neighborhood_5,Covariance of Channel Intensity in neighborhood_6,Covariance of Channel Intensity in neighborhood_7,Covariance of Channel Intensity in neighborhood_8,Kurtosis of Intensity in neighborhood_0,Kurtosis of Intensity in neighborhood_1,Kurtosis of Intensity in neighborhood_2,Mean Defect Displacement,Mean Defect Area,Convexity,Defect Center_0,Defect Center_1,Kurtosis of Defect Area,Number of Defects,Object Area,Convex Hull Center_0,Convex Hull Center_1,Variance of Defect Area,Convex Hull Area,Skewness of Defect Area,Object Center_0,Object Center_1
0,0,1,0,Label 1,1.0,0.0,28.213203,0.0,280.0,6.0,13.0,23.600847,56.769554,4.3668885,1444791.0,2575402.0,651232.0,270.0,0.0,279.85617,7.027397,296.0,17.0,7306.0,12042.0,3600.0,-0.5683907,0.8172617,-0.09494881,0.82084984,0.5711399,0.0021828348,0.056013,-0.07669802,-0.99547976,3675562.8,6724992.5,134716.17,14740.0,22178.0,5235.0,9895.829,17639.74,4460.493,7.288167,1.9137788,3675562.8,-4047080.5,-349866.62,-4047080.5,6724992.5,400536.25,-349866.62,400536.25,134716.17,0.5786353,-0.222814,-0.19112486,0.8055369,-0.59254557,-0.59254557,-0.8055369,146.0,-0.8036886,-0.88092947,-0.34750402,40998508.0,23332976.0,11592733.0,6246.0,4306.0,2783.0,4655769.5,13246958.0,141868.98,18982.0,23603.0,5653.0,14320.121,8149.8345,4049.1558,-1.1625288,1.7715586,0.4209135,4655769.5,-3714260.8,-258762.45,-3714260.8,13246958.0,575726.25,-258762.45,575726.25,141868.98,1.305204,3.0443027,0.39752892,8.027021,98.666664,0.33031675,283.80405,8.47973,0.0,3.0,146.0,282.5,8.0,10729.333,442.0,0.54205716,279.85617,7.027397
1,0,2,0,Label 1,1.0,0.0,64.04163,0.0,335.0,20.0,41.0,31.304953,188.65181,4.6012635,4667255.0,9526071.0,2082607.0,306.0,0.0,326.75992,12.563877,345.0,24.0,6246.0,13018.0,3650.0,-0.42091388,-0.90701175,0.012695807,0.90552187,-0.42096555,-0.05308638,0.05349447,-0.010848465,0.9985092,4889689.5,14650863.0,188423.77,17157.0,29499.0,5968.0,10280.297,20982.535,4587.24,9.878693,6.31083,4889689.5,-5789709.0,-368219.9,-5789709.0,14650863.0,845157.44,-368219.9,845157.44,188423.77,0.5530262,0.2023892,0.55363464,0.97933996,0.20222065,0.20222065,-0.97933996,454.0,-0.45319304,-0.76448655,0.17283328,58790896.0,43663590.0,16775107.0,6006.0,4452.0,2829.0,8882063.0,53052384.0,259039.92,22276.0,40991.0,7144.0,14672.049,10896.828,4186.4507,-1.1040112,1.9938596,1.240685,8882063.0,-15271213.0,-832233.3,-15271213.0,53052384.0,2551113.8,-832233.3,2551113.8,259039.92,0.706277,3.4730155,3.0341516,12.734383,96.4,0.48504272,323.34232,10.497926,1.880104,5.0,454.0,325.0,11.5,3312.3,936.0,-0.49883643,326.75992,12.563877
2,0,3,0,Label 1,1.0,0.0,62.04163,0.0,359.0,30.0,2.0,9.055386,62.04163,31.020815,3189437.0,7720301.0,1529220.0,356.0,8.0,363.2293,24.33758,375.0,40.0,6006.0,13018.0,3553.0,-0.3998624,0.9151664,-0.050799515,0.9145483,0.40204874,0.044252075,0.060921893,-0.028763868,-0.997728,8013470.5,33623604.0,400340.62,19417.0,37181.0,7144.0,10157.442,24586.945,4870.1274,9.2349205,5.2651377,8013470.5,-13839385.0,-1008989.44,-13839385.0,33623604.0,2184757.5,-1008989.44,2184757.5,400340.62,0.97133297,-0.05572297,0.81407225,0.019517085,-0.9998095,0.9998095,0.019517085,314.0,0.28262717,-1.037926,0.81215054,64259580.0,45500200.0,17924920.0,6018.0,4452.0,2813.0,8019361.0,48824916.0,225729.62,22276.0,40991.0,6933.0,14861.143,10522.71,4145.4487,-1.2322683,1.9784049,1.1376921,8019361.0,-15030451.0,-708163.6,-15030451.0,48824916.0,2190633.0,-708163.6,2190633.0,225729.62,1.2842135,3.6139333,2.7300587,8.454479,73.5,0.51644737,366.89114,22.605442,3.1135468,4.0,314.0,365.0,23.5,8883.667,608.0,1.7728187,363.2293,24.33758
3,0,4,0,Label 1,1.0,0.0,5.656854,0.0,374.0,15.0,4.0,4.0,9.485281,2.3713202,187992.0,373575.0,86446.0,372.0,13.0,373.42105,14.894737,376.0,18.0,7959.0,13014.0,4059.0,-0.32991192,0.92616975,0.18266834,0.94156647,0.30891967,0.13424304,0.067902006,0.21628277,-0.97396666,2330374.8,16738616.0,148929.33,12575.0,27239.0,5461.0,9894.315,19661.842,4549.7896,1.3861746,1.0739238,2330374.8,-5760036.0,-366122.16,-5760036.0,16738616.0,1219989.6,-366122.16,1219989.6,148929.33,0.36575565,0.08693035,0.7661847,-0.22189744,-0.97507,0.97507,-0.22189744,19.0,-1.2161838,-1.0075309,-0.14688788,37551080.0,28589400.0,10634196.0,6006.0,4457.0,2813.0,10122709.0,72606230.0,303782.34,22276.0,40991.0,7144.0,14877.607,11327.0205,4213.2314,-1.1398722,1.7561814,1.3954636,10122709.0,-22229852.0,-1088484.9,-22229852.0,72606230.0,3507160.0,-1088484.9,3507160.0,303782.34,0.76251584,1.9503278,3.037902,2.631579,1.0,0.95,375.0,17.0,0.0,1.0,19.0,373.5,15.0,0.0,20.0,0.0,373.42105,14.894737
4,0,5,0,Label 1,1.0,0.0,14.2426405,0.0,288.0,37.0,4.0,13.038404,17.071068,4.267767,344298.0,407771.0,156905.0,282.0,36.0,288.5,37.14706,296.0,39.0,7730.0,10188.0,3816.0,-0.8697154,0.47832742,-0.12164728,0.46483922,0.8766894,0.12385596,0.16589057,0.051173005,-0.98481554,2276653.5,926044.3,193542.66,12869.0,14314.0,5583.0,10126.412,11993.265,4614.853,3.4836073,0.7699698,2276653.5,-1006299.8,-393384.72,-1006299.8,926044.3,226112.25,-393384.72,226112.25,193542.66,0.16925187,0.460708,0.47966176,0.9998628,0.016564865,0.016564865,-0.9998628,34.0,-1.248262,-0.4986909,-0.4166702,50988684.0,29524154.0,14535165.0,6246.0,4470.0,2919.0,4600109.0,14701487.0,143731.95,19286.0,25042.0,5791.0,14147.804,8192.052,4033.0647,-1.3281611,1.9718405,0.43649048,4600109.0,-5220842.5,-286689.4,-5220842.5,14701487.0,636580.6,-286689.4,636580.6,143731.95,1.8572993,3.623769,0.30103418,5.83612,2.6666667,0.8095238,288.5,36.375,0.0,3.0,34.0,288.5,37.0,2.3333333,42.0,-0.9352195,288.5,37.14706
5,0,6,0,Label 1,1.0,0.0,18.485281,0.0,397.0,42.0,11.0,17.088007,44.455845,4.0414405,846922.0,1656893.0,422445.0,389.0,38.0,396.46667,42.322224,406.0,48.0,6989.0,13773.0,3684.0,-0.51732963,0.8549593,0.037610985,0.8551168,0.51468754,0.062225677,0.03384252,0.064352974,-0.9973532,2392509.2,5445263.0,146542.3,13344.0,22816.0,5562.0,9410.244,18409.922,4693.8335,4.520892,1.614496,2392509.2,-2915351.0,-96810.945,-2915351.0,5445263.0,221284.89,-96810.945,221284.89,146542.3,0.75309837,-0.18822433,0.09016124,0.88740236,-0.4609957,-0.4609957,-0.88740236,90.0,-0.37130243,-1.1673933,-0.24014324,57119836.0,35710150.0,16153759.0,6250.0,4215.0,2813.0,5232746.0,27447238.0,185599.58,19491.0,36182.0,6635.0,14438.785,9026.833,4083.3567,-1.4089584,2.0297143,0.9270355,5232746.0,-8646435.0,-441648.38,-8646435.0,27447238.0,1296315.2,-441648.38,1296315.2,185599.58,2.0499427,4.028992,2.1193664,5.7719502,20.0,0.5294118,397.6,42.7,-3.9694748,4.0,90.0,397.0,42.5,465.33334,170.0,0.34429243,396.46667,42.322224
6,0,7,0,Label 1,1.0,0.0,24.31371,0.0,409.0,48.0,13.0,13.601471,48.870056,3.7592351,1070495.0,2101281.0,519076.0,404.0,39.0,410.8421,46.824562,421.0,52.0,7165.0,13082.0,3596.0,-0.42951533,0.89931756,-0.08212466,0.900875,0.43302256,0.030261122,0.06277619,-0.060986433,-0.99616253,2569077.0,7035947.0,175276.44,13040.0,23093.0,5746.0,9390.307,18432.29,4553.2983,4.770834,2.5459144,2569077.0,-2749380.2,-283889.03,-2749380.2,7035947.0,436186.56,-283889.03,436186.56,175276.44,0.6304623,-0.20379673,0.20074469,0.921602,0.38813618,0.38813618,-0.921602,114.0,-0.79843366,-1.0234646,-0.3283335,59504056.0,31337652.0,16601799.0,6730.0,4140.0,2813.0,3002622.8,14664836.0,157853.53,18688.0,25541.0,6635.0,14338.326,7551.2417,4000.4336,-1.5642684,2.1951132,0.9496811,3002622.8,-3786066.5,-213490.75,-3786066.5,14664836.0,763249.0,-213490.75,763249.0,157853.53,4.0305095,4.3536673,2.7469862,6.6036983,26.75,0.51583713,413.23364,43.056076,3.9114075,4.0,114.0,412.0,45.0,1362.9166,221.0,1.9724191,410.8421,46.824562
7,0,8,0,Label 1,1.0,0.0,30.556349,0.0,291.0,52.0,2.0,22.203604,30.556349,15.278174,1744237.0,3407226.0,795804.0,279.0,43.0,291.5028,49.93855,305.0,56.0,6613.0,13495.0,3482.0,-0.5621627,0.82590914,-0.042978767,0.8259974,0.56329626,0.020629711,0.04124805,-0.023903096,-0.998863,4148154.8,7439599.0,145236.52,15721.0,25042.0,5791.0,9744.341,19034.781,4445.8325,7.6342783,2.5550456,4148154.8,-4169885.2,-259131.19,-4169885.2,7439599.0,330443.66,-259131.19,330443.66,145236.52,0.7986633,0.042893585,0.27661937,0.99079496,0.13537139,0.13537139,-0.99079496,179.0,-0.06730075,-0.89136034,0.2884798,66873890.0,31248736.0,18590148.0,7144.0,4166.0,2829.0,2183814.2,4416265.0,127798.39,19286.0,17999.0,5653.0,14237.574,6652.9136,3957.8767,-1.020657,1.9020516,0.38701367,2183814.2,-605835.4,-82814.305,-605835.4,4416265.0,259188.16,-82814.305,259188.16,127798.39,3.9448998,3.318206,0.49416617,6.7801747,39.75,0.5295858,291.49686,47.943398,1.4504695,4.0,179.0,291.5,49.0,2089.5833,338.0,1.3420767,291.5028,49.93855
8,0,9,0,Label 1,1.0,0.0,19.727922,0.0,383.0,59.0,9.0,17.804493,40.213203,4.468134,1000194.0,1779530.0,481555.0,375.0,52.0,383.04,58.61,391.0,65.0,7562.0,13695.0,3593.0,-0.602793,-0.73616606,0.3077339,0.78910285,-0.607132,0.09331332,0.118141,0.29908234,0.94688565,2519310.5,3881652.0,374025.16,14952.0,22338.0,6635.0,10001.94,17795.3,4815.55,4.9335756,1.6419897,2519310.5,-2440630.5,-495014.03,-2440630.5,3881652.0,435905.78,-495014.03,435905.78,374025.16,0.51369685,0.109887555,0.7418783,0.80144495,-0.59806854,-0.59806854,-0.80144495,100.0,-0.3042482,-0.92504114,0.4972729,57974560.0,43474736.0,16701778.0,6088.0,4735.0,2813.0,7401982.5,32341390.0,186636.44,19264.0,34496.0,7202.0,14385.747,10787.776,4144.362,-1.3628172,1.5767852,0.8912999,7401982.5,-13120273.0,-568657.56,-13120273.0,32341390.0,1194334.1,-568657.56,1194334.1,186636.44,0.8393479,2.134352,2.6007876,5.529334,27.0,0.48076922,382.0,57.435184,-2.5622559,4.0,100.0,382.5,58.0,1032.0,208.0,0.614851,383.04,58.61
9,0,10,0,Label 1,1.0,0.0,36.213203,0.0,355.0,70.0,2.0,14.3178215,36.213203,18.106602,2177297.0,5420405.0,1040754.0,340.0,58.0,353.03864,66.58798,363.0,77.0,6088.0,12261.0,3494.0,-0.28705877,0.95616585,-0.057828575,0.957401,0.28835553,0.01531022,0.0313143,-0.050970204,-0.9982091,4964923.5,36110660.0,174436.42,15625.0,34496.0,5915.0,9344.622,23263.541,4466.7554,6.024598,4.382065,4964923.5,-10257541.0,-437337.16,-10257541.0,36110660.0,1146080.0,-437337.16,1146080.0,174436.42,0.8450254,0.19133274,0.46675676,0.940444,-0.3399487,-0.3399487,-0.940444,233.0,-0.07082021,-1.139062,0.45232168,68639860.0,38990716.0,19064932.0,6006.0,4091.0,2829.0,3771248.5,20376700.0,176909.78,19264.0,34141.0,7202.0,14474.875,8222.42,4020.4414,-1.4636565,2.4304092,1.2213999,3771248.5,-4973238.5,-275867.6,-4973238.5,20376700.0,973531.06,-275867.6,973531.06,176909.78,3.2535899,6.511095,4.4560018,9.282542,51.0,0.5331808,348.67157,67.47059,-1.2551596,4.0,233.0,351.0,67.0,1543.3334,437.0,-0.18109761,353.03864,66.58798
