NAME,NAME.id,NAME.name,ASSOCIATION,CLUMP,EXPERIMENT,EXPERIMENT.count,EXPERIMENT.count.active,EXPERIMENT.count.total,EXPERIMENT.date,EXPERIMENT.description,EXPERIMENT.field,EXPERIMENT.fullname,EXPERIMENT.id,EXPERIMENT.index,EXPERIMENT.name,EXPERIMENT.series,IMAGE,IMAGE.label,IMAGE.meta,IMAGE.name,INTENSITY,INTENSITY.ch1,INTENSITY.ch1.count,INTENSITY.ch1.coverage,INTENSITY.ch1.dmode,INTENSITY.ch1.kurtosis,INTENSITY.ch1.max,INTENSITY.ch1.mean,INTENSITY.ch1.mean_c,INTENSITY.ch1.mean_l,INTENSITY.ch1.mean_n,INTENSITY.ch1.median,INTENSITY.ch1.min,INTENSITY.ch1.mode,INTENSITY.ch1.signal,INTENSITY.ch1.skewness,INTENSITY.ch1.snr,INTENSITY.ch1.stdev,INTENSITY.ch1.sum,INTENSITY.ch1.threshold,INTENSITY.ch1.variation,INTENSITY.ch1.zscore,INTENSITY.ch2,INTENSITY.ch2.count,INTENSITY.ch2.coverage,INTENSITY.ch2.dmode,INTENSITY.ch2.kurtosis,INTENSITY.ch2.max,INTENSITY.ch2.mean,INTENSITY.ch2.mean_c,INTENSITY.ch2.mean_l,INTENSITY.ch2.mean_n,INTENSITY.ch2.median,INTENSITY.ch2.min,INTENSITY.ch2.mode,INTENSITY.ch2.signal,INTENSITY.ch2.skewness,INTENSITY.ch2.snr,INTENSITY.ch2.stdev,INTENSITY.ch2.sum,INTENSITY.ch2.threshold,INTENSITY.ch2.variation,INTENSITY.ch2.zscore,INTENSITY.ch3,INTENSITY.ch3.count,INTENSITY.ch3.coverage,INTENSITY.ch3.dmode,INTENSITY.ch3.kurtosis,INTENSITY.ch3.max,INTENSITY.ch3.mean,INTENSITY.ch3.mean_c,INTENSITY.ch3.mean_l,INTENSITY.ch3.mean_n,INTENSITY.ch3.median,INTENSITY.ch3.min,INTENSITY.ch3.mode,INTENSITY.ch3.signal,INTENSITY.ch3.skewness,INTENSITY.ch3.snr,INTENSITY.ch3.stdev,INTENSITY.ch3.sum,INTENSITY.ch3.threshold,INTENSITY.ch3.variation,INTENSITY.ch3.zscore,LOCATION,LOCATION.LOCATION.half,LOCATION.LOCATION.pole,LOCATION.LOCATION.side,LOCATION.center,LOCATION.dist,LOCATION.dist.center,LOCATION.dist.origin,LOCATION.half,LOCATION.half.1,LOCATION.half.2,LOCATION.pole,LOCATION.pole.1,LOCATION.pole.2,LOCATION.side,LOCATION.side.1,LOCATION.side.2,LOCATION.x,LOCATION.y,MAXIMA,MAXIMA.MAXIMA.Maxima1,MAXIMA.Maxima1,MAXIMA.Maxima1.count,MAXIMA.count,MAXIMA.count.half,MAXIMA.count.midcell,MAXIMA.count.pole,MAXIMA.count.side,MAXIMA.count.total,MEDIAL,POSITION,POSITION.channel,POSITION.frame,POSITION.position,POSITION.slice,PROFILE_MEDIAL,SHAPE,SHAPE.angularity,SHAPE.angularity.amplitude,SHAPE.angularity.count,SHAPE.angularity.max,SHAPE.angularity.mean,SHAPE.angularity.median,SHAPE.angularity.mid,SHAPE.angularity.min,SHAPE.angularity.stdev,SHAPE.angularity.sum,SHAPE.angularity.variation,SHAPE.area,SHAPE.aspectRatio,SHAPE.circularity,SHAPE.curvature,SHAPE.feret,SHAPE.feret.max,SHAPE.feret.min,SHAPE.length,SHAPE.morphology,SHAPE.orientation,SHAPE.perimeter,SHAPE.pole,SHAPE.roundness,SHAPE.sinuosity,SHAPE.solidity,SHAPE.width,SHAPE.width.amplitude,SHAPE.width.count,SHAPE.width.max,SHAPE.width.mean,SHAPE.width.median,SHAPE.width.mid,SHAPE.width.min,SHAPE.width.stdev,SHAPE.width.sum,SHAPE.width.variation,ZSCORE
b1,97d7b8a6-7735-4d15-9766-2bd3ba10c2b8,b1,0,1,Experiment_test,48,48,48,11/1/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_inf.002.tif - T=8,c:1/3 z:1/5 t:9/16 - 20230801_LZ22225_60min_inf.002,c:1/3 z:1/5 t:9/16 - 20230801_LZ22225_60min_inf.002.tif,20230801_LZ22225_60min_inf.002.tif - T=8,12406.712,Stats[mean=12771.085 min=10074.0 max=18174.0 stdv=1820.2529],47,0,10074,0.19633457,18174,12771.085,5019.8057,0,0.0502821,12333,10074,,FALSE,0.8373065,1.3930602,1820.2529,600241,19451.492,0.14252923,-6.0457697,Stats[mean=9036.83 min=7426.0 max=10470.0 stdv=681.37213],47,0.89361703,7426,-0.40994096,10470,9036.83,1989.0991,0,0.18198231,9017,7426,,TRUE,-0.13894174,1.2822325,681.37213,424731,8120.2534,0.075399466,3.709198,Stats[mean=4856.2764 min=3747.0 max=5814.0 stdv=512.6821],47,1,3747,-0.6157587,5814,4856.2764,2999.938,0,0.38329104,4855,3747,,TRUE,-0.21766125,2.6160512,512.6821,228244.98,2875.7168,0.10557104,5.885818,(x=5.72 y=0.58),,,,FALSE,5.7497697,35.18829,5.7497697,2,,,2,,,2,,,5.7206717,0.5777248,0,,0,,0,0,0,0,0,0,1,1,1,1,1,1,ip[width=12  height=1  bits=16  min=7560.0  max=27342.0],1,0,0,1,0,0,0,0,0,NaN,NaN,0,0.54725343,2.0865548,0.8251368,0,1.1392668,1.1392668,0.5460039,1.1371787,1,0,2.8869295,2,0.5368434,1,0.9997352,0.5348115,0.02814442,3,0.54494417,0.5348115,0.5426906,0.5348115,0.51679975,0.01563928,NaN,0.029242605,4.7006516
b2,2a0f2856-f028-4fcc-b958-4f2834c56a04,b2,0,1,Experiment_test,48,48,48,11/1/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_inf.002.tif - T=8,c:1/3 z:1/5 t:9/16 - 20230801_LZ22225_60min_inf.002,c:1/3 z:1/5 t:9/16 - 20230801_LZ22225_60min_inf.002.tif,20230801_LZ22225_60min_inf.002.tif - T=8,12529.16,Stats[mean=19745.445 min=18237.0 max=20783.0 stdv=758.47614],18,0.5,18237,-1.1548176,20783,19745.445,1954.5547,0,0.6068506,20136,18237,,TRUE,-0.22346139,1.1098627,758.47614,355418,19451.492,0.038412713,2.3540328,Stats[mean=7931.6113 min=6920.0 max=8644.0 stdv=487.23434],18,0.44444445,6920,-0.7428975,8644,7931.6113,883.8804,0,0.12824483,8026,6920,,FALSE,-0.4514447,1.1254134,487.23434,142769,8120.2534,0.061429426,1.6482272,Stats[mean=3739.5 min=2879.0 max=4817.0 stdv=538.6671],18,1,2879,-0.76157886,4817,3739.5,1883.1616,0,0.27176952,3755,2879,,TRUE,0.07704865,2.0144496,538.6671,67311,2875.7168,0.1440479,3.694725,(x=27.21 y=0.17),,,,FALSE,27.21009,27.739906,27.21009,2,,,2,,,2,,,27.209581,0.16647495,0,,0,,0,0,0,0,0,0,1,1,1,1,1,1,ip[width=9  height=1  bits=16  min=7560.0  max=27342.0],1,0,0,1,0,0,0,0,0,NaN,NaN,0,0.24944791,2.124197,0.76001036,0.015471904,0.8492455,0.8492455,0.399796,0.84630954,1,106.15975,2.030884,2,0.44037583,1.000008,1,0.3294586,0.13908365,2,0.39900044,0.3294586,0.3294586,0.3294586,0.25991678,0.09834699,NaN,0.29851094,4.5919685
b3,826fee33-a710-4bc0-912a-79165bf6434a,b3,0,1,Experiment_test,48,48,48,11/1/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_inf.002.tif - T=8,c:1/3 z:1/5 t:9/16 - 20230801_LZ22225_60min_inf.002,c:1/3 z:1/5 t:9/16 - 20230801_LZ22225_60min_inf.002.tif,20230801_LZ22225_60min_inf.002.tif - T=8,19116.1,Stats[mean=21155.834 min=20460.0 max=21711.0 stdv=529.6536],6,1,20460,-1.4743483,21711,21155.834,3364.9434,0,0.7194026,21392,20460,,TRUE,-0.44565743,1.1891385,529.6536,126935,19451.492,0.025035819,4.052681,Stats[mean=7805.6665 min=7555.0 max=8176.0 stdv=278.30823],6,0.16666667,7555,-1.6578742,8176,7805.6665,757.93555,0,0.12212119,7900,7555,,FALSE,0.2713177,1.1075432,278.30823,46834,8120.2534,0.035654638,1.41337,Stats[mean=3100.5 min=2874.0 max=3399.0 stdv=213.83054],6,0.8333333,2874,-1.4978302,3399,3100.5,1244.1616,0,0.20795886,3224,2874,,TRUE,0.19169694,1.6702235,213.83054,18603,2875.7168,0.06896647,2.44102,(x=29.51 y=0.07),,,,FALSE,29.514862,27.874454,29.514862,2,,,2,,,2,,,29.514778,0.07032493,0,,0,,0,0,0,0,0,0,1,1,1,1,1,1,ip[width=7  height=1  bits=16  min=7560.0  max=27342.0],1,0,0,1,0,0,0,0,0,NaN,NaN,0,0.08326794,3.5958586,0.55404323,1.46E-06,0.6298985,0.6298985,0.17517333,0.61850303,1,94.39873,1.3742698,2,0.26720634,1,1,0.13129358,0.053087696,2,0.15783744,0.13129358,0.13129358,0.13129358,0.10474974,0.03753867,NaN,0.28591397,1.254468
b4,55a3fb08-7fe5-48f9-bf43-2eea8a646583,b4,0,1,Experiment_test,48,48,48,11/1/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_inf.002.tif - T=8,c:1/3 z:1/5 t:9/16 - 20230801_LZ22225_60min_inf.002,c:1/3 z:1/5 t:9/16 - 20230801_LZ22225_60min_inf.002.tif,20230801_LZ22225_60min_inf.002.tif - T=8,14631.3545,Stats[mean=14893.312 min=9921.0 max=21257.0 stdv=3406.1782],154,0.15584415,9921,-1.3381394,21257,14893.312,2897.579,0,0.21964021,13937,9921,,FALSE,0.3291279,1.1945558,3406.1782,2293570,19451.492,0.22870523,-3.4897954,Stats[mean=8657.071 min=6795.0 max=10703.0 stdv=845.498],154,0.71428573,8524,-0.38902193,10703,8657.071,1609.3403,0,0.16351783,8680,6795,,TRUE,-0.08000264,1.2283487,845.498,1333189,8120.2534,0.09766559,3.001038,Stats[mean=5544.1885 min=2562.0 max=7804.0 stdv=1262.314],154,0.987013,5331,-0.7002993,7804,5544.1885,3687.85,0,0.45198607,5756,2562,,TRUE,-0.44117782,2.986626,1262.314,853805,2875.7168,0.22768237,7.2354875,(x=30.39 y=1.27),,,,FALSE,30.411665,26.741806,30.411665,2,,,2,,,2,,,30.385054,1.271952,0,,0,,0,0,0,0,0,0,1,1,1,1,1,1,ip[width=26  height=1  bits=16  min=7560.0  max=27342.0],1,0.5634997,0.31910798,5,0.7254211,0.5634997,0.6188743,0.7254211,0.40631312,0.13625848,NaN,0.24180755,1.8045505,1.7513782,0.6344597,0.97155434,2.2186792,2.2186792,1.266819,2.6427193,1,67.11957,5.978434,2,0.46675628,1.3185936,0.8293327,0.7469767,0.23588377,9,0.8387544,0.7469767,0.7725746,0.8387544,0.60287064,0.08505039,NaN,0.11385949,2.7261026
b5,154ebf9b-7175-4869-ac91-56ba8b0ccdea,b5,0,1,Experiment_test,48,48,48,11/1/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_inf.002.tif - T=8,c:1/3 z:1/5 t:9/16 - 20230801_LZ22225_60min_inf.002,c:1/3 z:1/5 t:9/16 - 20230801_LZ22225_60min_inf.002.tif,20230801_LZ22225_60min_inf.002.tif - T=8,14498.341,Stats[mean=22496.857 min=17577.0 max=24672.0 stdv=1303.8428],28,0.96428573,17577,5.627701,24672,22496.857,4705.967,0,0.82641906,22584,17577,,TRUE,-1.9431243,1.2645155,1303.8428,629912,19451.492,0.057956662,5.667787,Stats[mean=8134.4644 min=7068.0 max=9621.0 stdv=694.78143],28,0.5,9338,-0.66607857,9621,8134.4644,1086.7334,0,0.13810787,8246,7068,,TRUE,0.34531865,1.1541963,694.78143,227765,8120.2534,0.08541207,2.0265,Stats[mean=4475.7144 min=3180.0 max=6599.0 stdv=884.53107],28,1,3180,-0.4169416,6599,4475.7144,2619.376,0,0.34528804,4254,3180,,TRUE,0.64632505,2.4110444,884.53107,125320,2875.7168,0.19762902,5.139163,(x=31.90 y=0.18),,,,FALSE,31.904587,28.007366,31.904587,2,,,2,,,2,,,31.904089,0.17848775,0,,0,,0,0,0,0,0,0,1,1,1,1,1,1,ip[width=13  height=1  bits=16  min=7560.0  max=27342.0],1,0.19145773,0,1,0.19145773,0.19145773,0.19145773,0.19145773,0.19145773,NaN,NaN,NaN,0.3390525,3.1751254,0.5935024,0.37555024,1.228501,1.228501,0.38691416,1.2271,1,92.380936,2.6793358,2,0.28603953,1.0087931,0.99676585,0.29752126,0.19137327,5,0.385341,0.29752126,0.3346034,0.385341,0.19396771,0.08263304,NaN,0.27773827,2.844163
b6,f64817ff-ce52-45dc-8271-bc3a0168f711,b6,0,1,Experiment_test,48,48,48,11/1/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_inf.002.tif - T=8,c:1/3 z:1/5 t:9/16 - 20230801_LZ22225_60min_inf.002,c:1/3 z:1/5 t:9/16 - 20230801_LZ22225_60min_inf.002.tif,20230801_LZ22225_60min_inf.002.tif - T=8,14721.461,Stats[mean=13720.129 min=10345.0 max=20321.0 stdv=2577.2053],70,0.042857144,10345,-0.28427276,20321,13720.129,4070.7617,0,0.1260178,12959,10345,,FALSE,0.7822488,1.2967,2577.2053,960409,19451.492,0.18784119,-4.902757,Stats[mean=8687.429 min=7191.0 max=10015.0 stdv=614.64795],70,0.75714284,7886,-0.47452897,10015,8687.429,1639.6978,0,0.16499385,8871,7191,,TRUE,-0.31687757,1.2326561,614.64795,608120,8120.2534,0.07075142,3.0576475,Stats[mean=6528.414 min=3711.0 max=8924.0 stdv=1362.4382],70,1,3711,-0.88833404,8924,6528.414,4672.0757,0,0.55027103,6769,3711,,TRUE,-0.374242,3.5168233,1362.4382,456989,2875.7168,0.2086936,9.166518,(x=33.27 y=0.86),,,,FALSE,33.277576,27.563665,33.277576,2,,,2,,,2,,,33.26641,0.86204875,0,,0,,0,0,0,0,0,0,1,1,1,1,1,1,ip[width=13  height=1  bits=16  min=7560.0  max=27342.0],1,0,0,1,0,0,0,0,0,NaN,NaN,0,0.81831855,1.6966733,0.89935505,8.66E-06,1.287813,1.287813,0.7590223,1.2788963,1,20.136198,3.381431,2,0.628242,1,0.99745727,0.7403089,0.019315183,3,0.74892914,0.7403089,0.7423834,0.7403089,0.72961396,0.009823267,NaN,0.013269147,2.6461263
b7,2ded272c-9567-4b65-b327-98a888acafab,b7,0,1,Experiment_test,48,48,48,11/1/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_inf.002.tif - T=8,c:1/3 z:1/5 t:9/16 - 20230801_LZ22225_60min_inf.002,c:1/3 z:1/5 t:9/16 - 20230801_LZ22225_60min_inf.002.tif,20230801_LZ22225_60min_inf.002.tif - T=8,22643.916,Stats[mean=22728.625 min=21495.0 max=24578.0 stdv=723.8205],16,1,21495,1.0580525,24578,22728.625,4937.7344,0,0.8449146,22684,21495,,TRUE,0.9445248,1.2775428,723.8205,363658,19451.492,0.031846207,5.946924,Stats[mean=7980.875 min=6798.0 max=8913.0 stdv=573.5924],16,0.4375,6798,-0.4785764,8913,7980.875,933.14404,0,0.1306401,8088,6798,,FALSE,-0.34933004,1.1324035,573.5924,127694,8120.2534,0.07187087,1.7400923,Stats[mean=3957.375 min=3422.0 max=4834.0 stdv=426.34882],16,1,3422,-0.46330953,4834,3957.375,2101.0366,0,0.29352656,3923,3422,,TRUE,0.6785645,2.1318176,426.34882,63318,2875.7168,0.10773526,4.1221914,(x=31.88 y=0.82),,,,FALSE,31.889967,27.368082,31.889967,2,,,2,,,2,,,31.879398,0.82093126,0,,0,,0,0,0,0,0,0,1,1,1,1,1,1,ip[width=9  height=1  bits=16  min=7560.0  max=27342.0],1,0,0,1,0,0,0,0,0,NaN,NaN,0,0.22180498,2.5741246,0.74171287,8.15E-06,0.8254452,0.8254452,0.32067022,0.8167376,1,41.98699,1.9385307,2,0.4144813,1,1,0.29991734,0.030406266,3,0.31871068,0.29991734,0.29273698,0.29991734,0.28830442,0.016425703,NaN,0.05476743,4.385688
b8,2f156f59-6f5f-4614-8d6f-92bd9b42306d,b8,0,1,Experiment_test,48,48,48,11/1/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_inf.002.tif - T=8,c:1/3 z:1/5 t:9/16 - 20230801_LZ22225_60min_inf.002,c:1/3 z:1/5 t:9/16 - 20230801_LZ22225_60min_inf.002.tif,20230801_LZ22225_60min_inf.002.tif - T=8,12607.434,Stats[mean=12481.99 min=9043.0 max=21309.0 stdv=2841.7903],200,0.045,12817,0.9342,21309,12481.99,5308.9004,0,0.027211733,11495,9043,,FALSE,1.2984277,1.4253248,2841.7903,2496398,19451.492,0.22767125,-6.3939505,Stats[mean=8846.285 min=6545.0 max=10721.0 stdv=753.35925],200,0.82,9106,-0.3117573,10721,8846.285,1798.5542,0,0.1727177,8902,6545,,TRUE,-0.08321958,1.2551962,753.35925,1769257,8120.2534,0.08516109,3.353877,Stats[mean=4856.21 min=2398.0 max=7134.0 stdv=1041.044],200,0.97,3377,-0.75648063,7134,4856.21,2999.8716,0,0.3832844,5121,2398,,TRUE,-0.2878469,2.6160154,1041.044,971242,2875.7168,0.21437375,5.8856874,(x=4.36 y=2.64),,,,FALSE,5.0942864,34.528473,5.0942864,2,,,2,,,2,,,4.359013,2.6364293,0,,0,,0,0,0,0,0,0,1,1,1,1,1,1,ip[width=37  height=1  bits=16  min=7560.0  max=27342.0],1,0.20003048,0.48442173,11,0.48442173,0.20003048,0.14293836,0.14293836,0,0.1874458,NaN,0.9370862,2.3458455,2.9114778,0.42432258,0.40459505,3.5438786,3.5438786,1.2172096,3.8967977,1,66.54583,8.335018,2,0.23782189,1.1292893,0.73374414,0.6343013,0.22079194,15,0.7142104,0.6343013,0.65229315,0.7142104,0.49341846,0.0739485,NaN,0.11658261,4.522495
b9,221d8437-214d-4d2e-af1a-7a81e33815b4,b9,0,1,Experiment_test,48,48,48,11/1/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_inf.002.tif - T=8,c:1/3 z:1/5 t:9/16 - 20230801_LZ22225_60min_inf.002,c:1/3 z:1/5 t:9/16 - 20230801_LZ22225_60min_inf.002.tif,20230801_LZ22225_60min_inf.002.tif - T=8,12122.346,Stats[mean=11677.026 min=9244.0 max=18084.0 stdv=1968.3931],76,0,11543,0.47657576,18084,11677.026,6113.8643,0,-0.037026066,11130,9244,,FALSE,1.036392,1.5235806,1968.3931,887454,19451.492,0.16856971,-7.3634353,Stats[mean=9480.776 min=7091.0 max=12632.0 stdv=1167.6996],76,0.90789473,9655,0.16374767,12632,9480.776,2433.0454,0,0.20356767,9486,7091,,TRUE,0.43424508,1.3452239,1167.6996,720539,8120.2534,0.123164974,4.5370526,Stats[mean=8547.685 min=5589.0 max=11669.0 stdv=1455.2275],76,1,5589,-0.4140612,11669,8547.685,6691.346,0,0.75191575,8517,5589,,TRUE,-0.22103286,4.604594,1455.2275,649624,2875.7168,0.17024815,13.128286,(x=32.88 y=2.36),,,,FALSE,32.962837,26.020336,32.962837,2,,,2,,,2,,,32.878345,2.3586087,0,,0,,0,0,0,0,0,0,1,1,1,1,1,1,ip[width=16  height=1  bits=16  min=7560.0  max=27342.0],1,0,0,1,0,0,0,0,0,NaN,NaN,0,0.9178632,2.1595318,0.76914954,0.010286183,1.5647885,1.5647885,0.7245961,1.5588908,1,20.451412,3.8724742,2,0.47728395,1.0000119,0.9863225,0.649748,0.15844381,5,0.7179827,0.649748,0.6557601,0.6557601,0.5595389,0.060245488,NaN,0.092721306,4.953049
b10,4bf63bc5-a230-4d59-874a-76cdc57b4c25,b10,0,1,Experiment_test,48,48,48,11/1/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_inf.002.tif - T=8,c:1/3 z:1/5 t:9/16 - 20230801_LZ22225_60min_inf.002,c:1/3 z:1/5 t:9/16 - 20230801_LZ22225_60min_inf.002.tif,20230801_LZ22225_60min_inf.002.tif - T=8,13742.566,Stats[mean=13848.571 min=9699.0 max=21239.0 stdv=3135.353],56,0.05357143,9699,-0.73836845,21239,13848.571,3942.3193,0,0.13626777,12993,9699,,FALSE,0.6748968,1.2846733,3135.353,775520,19451.492,0.22640264,-4.748063,Stats[mean=9190.714 min=7242.0 max=11060.0 stdv=1038.8777],56,0.83928573,7242,-1.0486199,11060,9190.714,2142.983,0,0.18946438,9169,7242,,TRUE,0.027175505,1.304067,1038.8777,514679.97,8120.2534,0.11303558,3.9961548,Stats[mean=5487.482 min=2985.0 max=9066.0 stdv=1620.133],56,1,2985,-0.80280036,9066,5487.482,3631.1436,0,0.44632334,5158,2985,,TRUE,0.50393015,2.9560785,1620.133,307299,2875.7168,0.29524162,7.1242304,(x=32.06 y=2.21),,,,FALSE,32.140343,26.022226,32.140343,2,,,2,,,2,,,32.064182,2.2113106,0,,0,,0,0,0,0,0,0,1,1,1,1,1,1,ip[width=12  height=1  bits=16  min=7560.0  max=27342.0],1,0,0,1,0,0,0,0,0,NaN,NaN,0,0.6491481,1.6837053,0.8985775,1.24E-05,1.1785676,1.1785676,0.6999845,1.1692715,1,46.4687,3.0129995,2,0.59503824,1,0.99957585,0.6564117,0.09611875,3,0.6996776,0.6564117,0.66599876,0.6564117,0.60355884,0.048771273,NaN,0.07429982,3.5149732
